variable,Year,value
ALFALFA,2011,432110.31
AMARANTH GRAIN,2011,0.6
APPLES,2011,316.3
ARONIA (CHOKEBERRY),2011,121.2
ASPARAGUS,2011,60.6
BARLEY,2011,3689.2
BEANS,2011,1127.36
BEETS,2011,2.79
BIRDSFOOT/TREFOIL,2011,253
BLUEBERRIES,2011,2.9
BROCCOFLOWER,2011,0.2
BROCCOLI,2011,12.64
BRUSSEL SPROUTS,2011,0.32
BUCKWHEAT,2011,94.5
CABBAGE,2011,109.41
CANARY SEED,2011,30.7
CANEBERRIES,2011,18.9
CANOLA,2011,266.8
CANTALOUPES,2011,96.81
CARROTS,2011,49.34
CAULIFLOWER,2011,1.44
CELERIAC,2011,0.12
CELERY,2011,0.03
CHERRIES,2011,5.1
CHESTNUTS,2011,3.9
CHICORY/RADICCHIO,2011,0.01
CHRISTMAS TREES,2011,186.1
CLOVER,2011,10875.46
CONSERVATION STEWARDSHIP PROGRAM,2011,86.4
CORN,2011,13733503.78
CRANBERRIES,2011,21.8
CRP,2011,1043425.16
CUCUMBERS,2011,27.44
EGGPLANT,2011,7.68
EMERGENCY WATERSHED/FLOODPLAIN,2011,1452.6
EQIP,2011,61
FALLOW,2011,3007.55
FLAX,2011,345.69
FLOWERS,2011,2178.96
FORAGE SOYBEAN/SORGHUM,2011,97
GARLIC,2011,4.41
GOURDS,2011,9.65
GRAPES,2011,364.58
GRASS,2011,772544.34
GRASSLAND RESERVE PROGRAM,2011,9164.24
GREENS,2011,3.93
HAZEL NUTS,2011,1.4
HERBS,2011,109.48
HOME GARDEN,2011,468.73
HOPS,2011,1
KOHLRABI,2011,2.97
LEEKS,2011,0.3
LETTUCE,2011,5.31
MILLET,2011,710.54
MIXED FORAGE,2011,780505.24
null,2011,0.6
NURSERY,2011,268.3
OATS,2011,113307.71
OKRA,2011,0.85
ONIONS,2011,42.92
PARSNIP,2011,0.12
PEACHES,2011,0.2
PEARS,2011,2
PEAS,2011,959.55
PEPPERS,2011,75.66
PLUMS,2011,2.1
POTATOES,2011,844.07
POTATOES SWEET,2011,3.01
PUMPKINS,2011,771.72
RADISHES,2011,1.86
RHUBARB,2011,3.26
RUTABAGA,2011,0.21
RYE,2011,7053.65
SHALLOTS,2011,0.3
SHRUBS/FORBS,2011,5.2
SORGHUM,2011,820.62
SORGHUM-  DUAL PURPOSE,2011,75.2
SORGHUM FORAGE,2011,911.88
SOYBEANS,2011,9220549.11
SQUASH,2011,155.38
STRAWBERRIES,2011,120.79
SUNFLOWERS,2011,311.1
TEFF,2011,20.7
TOMATOES,2011,55.41
TREES- Timber,2011,5230.31
TRITICALE,2011,1498.8
TURN AREAS,2011,46802.31
TURNIPS,2011,1.24
